,year,title,genre,avg_vote,movie_rating
2171,2009,Fakir of Venice,Drama,5.1,okay
2172,2006,Fight Club: Members Only,"Action, Crime",3.2,okay
2173,2006,Un mundo maravilloso,"Comedy, Drama, Thriller",6.9,good
2174,2005,Hwal,"Drama, Romance",7.2,good
2175,2006,Jaan-E-Mann: Let's Fall in Love... Again,"Drama, Musical, Romance",6.0,good
2176,2005,Kyaa Kool Hai Hum,"Comedy, Mystery",6.1,good
2177,2007,"Ma fille, mon ange","Crime, Drama, Thriller",6.1,good
2178,2005,Malas temporadas,Drama,6.3,good
2179,2005,Mr Ya Miss,"Comedy, Fantasy",3.6,okay
2180,2006,Grandma's Boy,Comedy,7.0,good
2181,2005,Nazar,Thriller,4.1,okay
2182,2005,Rinne,"Horror, Mystery",6.2,good
2183,2005,Qing hong,Drama,7.0,good
2184,2006,Va a ser que nadie es perfecto,"Comedy, Drama",5.9,okay
2185,2005,Yume no naka e,"Comedy, Drama",6.4,good
2186,2005,About Love,Romance,6.4,good
2187,2005,Bashing,Drama,6.9,good
2188,2005,Kamyu nante shiranai,Drama,6.9,good
2189,2005,Cidade Baixa,Drama,6.6,good
2190,2005,Dalkomhan insaeng,"Action, Drama",7.6,good
2191,2005,Fin de curso,Comedy,4.1,okay
2192,2005,Harrys döttrar,Drama,5.9,okay
2193,2008,Shin Kyûseishu densetsu Hokuto no Ken - Kenshirô de,"Animation, Action",7.0,good
2194,2006,Shin kyûseishu densetsu Hokuto no Ken: Raô den - Ju,"Animation, Action",6.8,good
2195,2005,Jambok-geunmu,"Action, Comedy, Crime",6.3,good
2196,2005,Jo sok,"Drama, Romance",6.6,good
2197,2005,Jumeogi unda,"Action, Drama, Sport",7.3,good
2198,2006,Knyaz Vladimir. Film pervyy,"Animation, Action, Drama",6.9,good
2199,2005,Mais Uma Vez Amor,"Romance, Comedy",5.6,okay
2200,2005,Muzhskoy sezon. Barkhatnaya revolyutsiya,"Action, Crime, Drama",3.2,okay
2201,2005,A Máquina,"Comedy, Drama, Romance",7.5,good
2202,2005,Sal de Prata,Drama,5.2,okay
2203,2005,Shou shen,"Crime, Mystery, Thriller",5.0,okay
2204,2005,Um Tiro no Escuro,"Crime, Thriller, Drama",6.3,good
2205,2006,New York Waiting,"Drama, Romance",6.4,good
2206,2006,Altered,"Horror, Sci-Fi, Thriller",5.6,okay
2207,2006,Are You Ready for Love?,Comedy,4.4,okay
2208,2007,Baby,"Crime, Drama, Thriller",5.5,okay
2209,2006,Striking Range,"Action, Thriller",3.8,okay
2210,2006,The Butterfly Effect 2,"Drama, Sci-Fi, Thriller",4.5,okay
2211,2006,Choking Man,Drama,5.9,okay
2212,2006,Church Ball,"Comedy, Sport",3.9,okay
2213,2006,Come Early Morning,"Drama, Romance",6.1,good
2214,2007,Dead Heist,"Action, Crime, Horror",3.8,okay
2215,2006,Down the P.C.H.,Drama,4.4,okay
2216,2006,Evil Behind You,"Action, Comedy, Sci-Fi",1.8,bad
2217,2009,From Mexico with Love,"Action, Drama, Sport",5.1,okay
2218,2005,The Hole Story,Comedy,5.6,okay
2219,2005,Jai Chiranjeeva,"Action, Comedy, Drama",5.8,okay
2220,2009,Land of the Lost,"Action, Adventure, Comedy",5.3,okay
2221,2007,Mr. Magorium's Wonder Emporium,"Comedy, Family, Fantasy",6.2,good
2222,2006,Pan's Labyrinth,"Drama, Fantasy, War",8.2,good
2223,2007,Perfect Stranger,"Crime, Drama, Horror",5.7,okay
2224,2005,Play,"Drama, Romance",6.4,good
2225,2005,The Reception,"Comedy, Drama, Romance",5.8,okay
2226,2005,Il ritorno del Monnezza,Comedy,3.7,okay
2227,2005,Sheng si jie,Drama,6.5,good
2228,2005,Silent Partner,"Action, Crime",4.6,okay
2229,2006,The Standard,Drama,4.7,okay
2230,2006,Stormbreaker,"Action, Adventure, Family",5.1,okay
2231,2006,Nacho Libre,"Comedy, Family, Sport",5.7,okay
2232,2006,Scoop,"Comedy, Crime, Mystery",6.7,good
2233,2006,Walker Payne,Drama,6.0,good
2234,2005,The Work and the Glory II: American Zion,"Drama, Western",6.6,good
2235,2006,Fido,"Comedy, Drama, Horror",6.7,good
2236,2006,98 Octanas,"Adventure, Drama, Romance",4.2,okay
2237,2005,Bôkoku no îjisu,"Action, Drama, Thriller",5.5,okay
2238,2006,Efter brylluppet,Drama,7.7,good
2239,2007,Adventures of Johnny Tao,"Action, Adventure, Music",4.3,okay
2240,2005,The Blue Umbrella,"Comedy, Drama, Family",7.6,good
2241,2005,Ek Ajnabee,"Action, Crime, Drama",5.2,okay
2242,2006,Hell,Drama,5.0,okay
2243,2006,The Holiday,"Comedy, Romance",6.9,good
2244,2005,Home Delivery: Aapko... Ghar Tak,"Comedy, Romance",3.2,okay
2245,2006,Mixed Doubles,"Comedy, Drama",6.4,good
2246,2005,Nishijapon,Drama,7.1,good
2247,2007,Paruthiveeran,"Action, Drama, Romance",8.1,good
2248,2006,Provoked: A True Story,"Biography, Crime, Drama",6.5,good
2249,2005,Quanto Vale Ou É Por Quilo?,Drama,7.2,good
2250,2006,El ratón Pérez,"Animation, Adventure, Come",4.9,okay
2251,2005,Thambi,"Drama, Thriller",6.0,good
2252,2008,Tintorettor Jishu,"Adventure, Crime, Family",6.7,good
2253,2005,Ullam Ketkumae,Romance,7.1,good
2254,2006,Laitakaupungin valot,"Crime, Drama",6.9,good
2255,2006,Final Contract: Death on Delivery,Action,5.2,okay
2256,2006,The Devil Wears Prada,"Comedy, Drama",6.9,good
2257,2006,Fast Track,"Comedy, Romance",5.5,okay
2258,2006,Right at Your Door,"Drama, Sci-Fi, Thriller",6.1,good
2259,2006,The Other Half,"Comedy, Romance",4.9,okay
2260,2009,Die Päpstin,"Drama, Romance",6.7,good
2261,2006,Simon Says,"Horror, Thriller",4.2,okay
2262,2005,Soldier of God,Drama,4.6,okay
2263,2007,"Teresa, el cuerpo de Cristo",Drama,4.7,okay
2264,2006,Turn Left,"Action, Adventure, Comedy",2.0,bad
2265,2009,"Io, Don Giovanni","Drama, History, Music",7.0,good
2266,2006,El cantante,"Biography, Drama, Music",5.5,okay
2267,2009,X-Men Origins: Wolverine,"Action, Adventure, Sci-Fi",6.6,good
2268,2005,Alice,Drama,7.4,good
2269,2007,Import Export,Drama,7.1,good
2270,2006,Nachbeben,Drama,6.8,good
2271,2006,Efectos secundarios,Comedy,6.6,good
2272,2005,La vie avec mon père,"Comedy, Drama",6.6,good
2273,2007,"Gandhi, My Father","Biography, Drama, History",7.3,good
2274,2005,Gie,"Biography, Drama",7.6,good
2275,2005,The Great Ecstasy of Robert Carmichael,"Crime, Drama",4.8,okay
2276,2006,Les irréductibles,"Comedy, Drama",5.6,okay
2277,2006,Ladrones y mentirosos,"Crime, Drama",6.5,good
2278,2007,Morirse está en Hebreo,Comedy,6.7,good
2279,2005,Pitbull,"Action, Crime, Drama",7.0,good
2280,2006,Pudhu Pettai,"Action, Crime, Drama",8.4,good
2281,2005,Thotti Jaya,Thriller,5.9,okay
2282,2007,Eklavya,"Action, Drama, Thriller",6.1,good
2283,2005,Zui hao de shi guang,"Drama, Romance",7.0,good
2284,2005,Kilomètre zéro,"Comedy, Drama, War",6.1,good
2285,2005,Ashura-jô no hitomi,"Action, Fantasy",5.9,okay
2286,2007,Boy s tenyu II. Revansh,"Action, Crime, Drama",5.9,okay
2287,2006,Kuldrannake,"Drama, Thriller",4.6,okay
2288,2006,Lady Chatterley,"Drama, Romance",6.7,good
2289,2005,Lifting de corazón,"Comedy, Drama, Romance",5.8,okay
2290,2007,Georg,"Biography, Drama, Music",6.6,good
2291,2007,Paragraf 78,"Action, Sci-Fi, Thriller",4.9,okay
2292,2005,Pervye na Lune,"Mystery, Sci-Fi",6.8,good
2293,2007,La reine soleil,Animation,5.7,okay
2294,2006,Svolochi,"Action, Drama, War",6.1,good
2295,2006,Transe,Drama,6.3,good
2296,2005,Paréntesis,Drama,6.7,good
2297,2006,Pretendiendo,"Comedy, Romance",6.0,good
2298,2006,Toi et moi,"Comedy, Drama, Romance",5.6,okay
2299,2005,Athbhutha Dweepu,"Adventure, Comedy, Fantasy",5.3,okay
2300,2005,L'audition,Drama,7.0,good
2301,2006,In a Dark Place,"Horror, Thriller",4.3,okay
2302,2005,Eilandgasten,Drama,5.8,okay
2303,2005,Eminescu versus Eminem,Comedy,6.7,good
2304,2005,Fix Alert,"Action, Drama",6.4,good
2305,2006,Juventude em Marcha,Drama,7.0,good
2306,2006,Kiltro,"Action, Comedy, Drama",5.7,okay
2307,2006,KM 31: Kilómetro 31,"Horror, Mystery, Thriller",5.3,okay
2308,2006,Der letzte Zug,"Drama, War",6.6,good
2309,2005,Maurice Richard,"Biography, Drama, Sport",7.6,good
2310,2005,Popsa,"Drama, Musical",6.2,good
2311,2005,Rappakal,"Comedy, Drama",7.1,good
2312,2006,Safety in Numbers,Horror,3.2,okay
2313,2006,Saippuaprinssi,"Comedy, Romance",5.3,okay
2314,2005,Udayon,"Action, Drama, Family",4.3,okay
2315,2006,The Work and the Glory III: A House Divided,"Drama, Western",6.7,good
2316,2006,Aces,"Action, Drama",2.4,bad
2317,2006,The Big Bad Swim,"Comedy, Romance, Sport",6.3,good
2318,2005,Blush,"Drama, Music, Romance",7.0,good
2319,2006,Caffeine,Comedy,5.5,okay
2320,2006,Cashback,"Comedy, Drama, Romance",7.2,good
2321,2008,Chaos Theory,"Comedy, Drama, Romance",6.7,good
2322,2008,The Coffin,"Horror, Thriller",4.2,okay
2323,2005,Crash Test Dummies,"Comedy, Drama",6.4,good
2324,2006,Cutting Room,"Comedy, Horror, Mystery",5.3,okay
2325,2006,Driftwood,"Horror, Mystery, Thriller",4.7,okay
2326,2010,Drunkboat,Drama,4.9,okay
2327,2007,In the Name of the King: A Dungeon Siege Tale,"Action, Adventure, Fantasy",3.8,okay
2328,2005,The Eyes of Van Gogh,"Biography, Drama",6.2,good
2329,2006,The Fall,"Adventure, Drama, Fantasy",7.9,good
2330,2006,Fast Food Nation,"Comedy, Drama, Romance",6.3,good
2331,2006,Final Move,Thriller,3.7,okay
2332,2005,Frankenstein Reborn,"Horror, Sci-Fi, Thriller",3.2,okay
2333,2007,Ghost Son,"Drama, Horror, Mystery",4.5,okay
2334,2008,The Great Buck Howard,"Comedy, Drama",6.4,good
2335,2007,Elf Bowling the Movie: The Great North Pole Elf Str,"Animation, Comedy, Fantasy",1.8,bad
2336,2006,Griffin & Phoenix,"Comedy, Drama, Romance",7.0,good
2337,2006,Inland Empire,"Drama, Mystery, Thriller",6.9,good
2338,2006,Judges,"Action, Adventure, Fantasy",3.2,okay
2339,2006,Killing Down,"Action, Thriller",3.9,okay
2340,2005,Kûchû teien,Drama,7.2,good
2341,2006,Life and Lyrics,"Drama, Music, Romance",5.4,okay
2342,2006,The Lonely Ones,Horror,4.3,okay
2343,2006,La maison du bonheur,Comedy,5.5,okay
2344,2007,The Moon and the Stars,"Drama, Romance, War",6.1,good
2345,2007,Night Skies,"Horror, Sci-Fi, Thriller",4.6,okay
2346,2005,Oktoberfest,Crime,6.1,good
2347,2005,Opa!,"Comedy, Romance",5.9,okay
2348,2005,Pervert!,"Comedy, Horror",4.5,okay
2349,2006,Played,"Crime, Drama, Thriller",4.4,okay
2350,2007,Prisoner,"Horror, Thriller",4.7,okay
2351,2006,The Sasquatch Gang,Comedy,6.3,good
2352,2009,The Ritual,"Drama, Horror",3.8,okay
2353,2006,TV: The Movie,Comedy,3.3,okay
2354,2006,The Truth,Comedy,5.8,okay
2355,2006,Unidentified,Sci-Fi,3.4,okay
2356,2006,Vallavan,"Romance, Thriller",4.6,okay
2357,2006,The Wind that Shakes the Barley,"Drama, War",7.5,good
2358,2005,Les états-Unis d'Albert,"Adventure, Comedy, Drama",5.9,okay
2359,2005,Cherm,"Crime, Drama, Romance",7.2,good
2360,2005,Cose da pazzi,Comedy,6.5,good
2361,2005,Ek Khiladi Ek Haseena,"Comedy, Crime, Thriller",5.8,okay
2362,2005,Kal: Yesterday and Tomorrow,"Drama, Mystery, Thriller",6.5,good
2363,2006,Pyare Mohan,"Action, Comedy, Crime",3.2,okay
2364,2005,Il mistero di Lovecraft - Road to L.,Thriller,5.6,okay
2365,2005,Hôrudo appu daun,Comedy,6.6,good
2366,2005,Yawarakai seikatsu,Drama,7.1,good
2367,2005,Umoregi,Drama,6.6,good
2368,2006,Warau Mikaeru,"Adventure, Comedy",5.4,okay
2369,2005,Whole New Thing,"Comedy, Drama",6.6,good
2370,2006,7 Zwerge - Der Wald ist nicht genug,"Comedy, Fantasy",4.1,okay
2371,2006,Vier Minuten,"Drama, Music",7.4,good
2372,2005,Rose,Drama,7.0,good
2373,2006,Skinwalkers,"Action, Fantasy, Horror",4.6,okay
2374,2006,Cut Sleeve Boys,"Comedy, Romance",6.1,good
2375,2005,Eri Eri rema sabakutani,"Drama, Music, Sci-Fi",6.5,good
2376,2007,Enchanted,"Animation, Comedy, Family",7.0,good
2377,2005,Geuk jang jeon,Drama,6.9,good
2378,2005,Lü cao di,"Comedy, Drama",6.6,good
2379,2005,Unter dem Eis,Drama,6.8,good
2380,2005,Unmei janai hito,"Comedy, Drama, Romance",7.7,good
2381,2005,15,"Action, Drama",5.7,okay
2382,2005,7 vírgenes,"Crime, Drama",6.3,good
2383,2006,Bolletjes blues!,"Music, Musical, Romance",5.2,okay
2384,2005,Bølle Bob og Smukke Sally,"Family, Musical",2.6,bad
2385,2006,Don,"Action, Crime, Thriller",7.2,good
2386,2006,Everything's Gone Green,"Comedy, Crime",6.1,good
2387,2006,Invisible Waves,"Drama, Thriller",6.6,good
2388,2005,The Magician,"Crime, Drama",6.7,good
2389,2006,N (Io e Napoleone),"Comedy, History, War",6.3,good
2390,2007,"Romulus, My Father","Biography, Drama",6.6,good
2391,2006,Stranded,Drama,6.5,good
2392,2007,7eventy 5ive,"Horror, Thriller",4.6,okay
2393,2006,After...,"Horror, Thriller",3.1,okay
2394,2006,Backlash,"Action, Thriller",3.4,okay
2395,2005,The Beast of Bray Road,Horror,4.1,okay
2396,2006,Black Snake Moan,"Drama, Music",6.9,good
2397,2005,Bloodline,Drama,3.3,okay
2398,2005,Buy It Now,Drama,5.4,okay
2399,2008,Camille,"Comedy, Drama, Fantasy",6.0,good
2400,2007,Code Name: The Cleaner,"Action, Comedy, Crime",4.6,okay
2401,2006,Cobrador: In God We Trust,Drama,5.7,okay
2402,2009,Cold Storage,"Drama, Horror, Thriller",4.8,okay
2403,2006,El custodio,Drama,6.5,good
2404,2007,Daddy Day Camp,"Comedy, Family",3.1,okay
2405,2006,Automatons,"Horror, Sci-Fi",4.6,okay
2406,2005,Fair Game,Drama,2.6,bad
2407,2007,Flakes,Comedy,6.0,good
2408,2007,The Unknown Trilogy,"Drama, Horror, Sci-Fi",3.4,okay
2409,2007,Intervention,Drama,4.6,okay
2410,2006,VooDoo Curse: The Giddeh,Horror,2.4,bad
2411,2006,The Gigolos,Comedy,5.4,okay
2412,2007,Grindhouse,"Action, Horror, Thriller",7.5,good
2413,2006,The Hoax,"Comedy, Drama",6.7,good
2414,2006,How to Eat Fried Worms,"Comedy, Family",5.3,okay
2415,2005,Hula Gods,"Comedy, Romance",5.8,okay
2416,2006,Incubus,"Horror, Mystery, Thriller",3.0,okay
2417,2006,The Insatiable,"Comedy, Horror, Romance",5.2,okay
2418,2006,Joy Division,"Drama, War",6.2,good
2419,2006,LOL,"Comedy, Drama",4.6,okay
2420,2006,Larry the Cable Guy: Health Inspector,"Comedy, Romance",3.3,okay
2421,2007,The Last Legion,"Action, Adventure, War",5.4,okay
2422,2007,Bunny Whipped,Comedy,3.2,okay
2423,2006,Mentor,Drama,6.2,good
2424,2005,Mr. Dungbeetle,Comedy,5.1,okay
2425,2008,Outlander,"Action, Adventure, Fantasy",6.2,good
2426,2005,Penny Dreadful,"Horror, Thriller",5.9,okay
2427,2005,The Last Hangman,"Biography, Crime, Drama",7.4,good
2428,2006,Poultrygeist: Night of the Chicken Dead,"Comedy, Horror, Musical",6.1,good
2429,2006,Quarter Life Crisis,"Comedy, Drama, Romance",2.9,bad
2430,2008,Rambo,"Action, Thriller",7.0,good
2431,2006,Rescue Dawn,"Action, Adventure, Biograp",7.3,good
2432,2010,Satan Hates You,Horror,4.4,okay
2433,2007,Haunted Forest,Horror,3.6,okay
2434,2006,School for Scoundrels,Comedy,5.9,okay
2435,2007,The Simpsons Movie,"Animation, Adventure, Come",7.3,good
2436,2005,Song of Songs,Drama,4.6,okay
2437,2005,Tiempo de valientes,"Action, Comedy, Crime",7.6,good
2438,2006,The Tillamook Treasure,"Drama, Family",5.0,okay
2439,2006,Tomorrow Is Today,"Drama, Romance",6.8,good
2440,2006,The Treatment,"Comedy, Drama, Romance",5.8,okay
2441,2006,Step Up,"Crime, Drama, Music",6.5,good
2442,2007,Urchin,"Fantasy, Horror, Mystery",3.3,okay
2443,2007,Walk the Talk,"Comedy, Drama",5.5,okay
2444,2007,White Air,"Action, Drama, Sport",3.3,okay
2445,2006,Les brigades du Tigre,"Action, Adventure, Crime",5.8,okay
2446,2005,Frankie,Drama,5.9,okay
2447,2006,L'homme de sa vie,"Drama, Romance",6.6,good
2448,2005,Hyeol-eui-noo,"Mystery, Thriller",6.7,good
2449,2006,Le lièvre de Vatanen,"Comedy, Drama",5.2,okay
2450,2005,Na Verkhney Maslovke,Drama,7.0,good
2451,2005,Namgeuk-ilgi,"Horror, Mystery, Thriller",6.0,good
2452,2005,Stories of Lost Souls,"Comedy, Drama, Thriller",5.5,okay
2453,2005,Yeladim Tovim,"Crime, Drama, Romance",5.6,okay
2454,2006,Zayats nad bezdnoy,Comedy,6.2,good
2455,2007,Descent,"Drama, Thriller",4.8,okay
2456,2005,Southbounders,Drama,6.4,good
2457,2006,"You, Me and Dupree","Comedy, Romance",5.6,okay
2458,2006,La belle bête,Drama,5.7,okay
2459,2010,Federal,"Drama, Thriller",3.1,okay
2460,2006,Sök,Drama,4.7,okay
2461,2005,La mujer de mi hermano,Drama,6.1,good
2462,2008,La personne aux deux personnes,"Comedy, Fantasy, Music",5.7,okay
2463,2006,Transylvania,Drama,6.8,good
2464,2006,Un dimanche à Kigali,Drama,7.3,good
2465,2005,Bharathchandran I.P.S,"Action, Thriller",5.6,okay
2466,2006,L'ivresse du pouvoir,Drama,6.3,good
2467,2007,Jake's Closet,"Drama, Horror, Thriller",5.3,okay
2468,2005,Naran,"Action, Thriller",7.1,good
2469,2005,Nerariyan CBI,"Mystery, Thriller",5.8,okay
2470,2007,28 Weeks Later,"Drama, Horror, Sci-Fi",7.0,good
2471,2008,Astérix aux jeux olympiques,"Adventure, Comedy, Family",5.2,okay
2472,2007,Back in Business,"Adventure, Comedy, Family",4.1,okay
2473,2005,Be with Me,"Drama, Romance",7.0,good
2474,2006,Candy Stripers,"Horror, Sci-Fi",3.2,okay
2475,2005,Confessions of a Pit Fighter,"Action, Drama",4.2,okay
2476,2006,Two Tickets to Paradise,Comedy,5.5,okay
2477,2006,The Far Side of Jericho,Western,4.5,okay
2478,2006,The Fast and the Furious: Tokyo Drift,"Action, Crime, Thriller",6.0,good
2479,2005,Le filmeur,Drama,6.9,good
2480,2007,Freedom Writers,"Biography, Crime, Drama",7.5,good
2481,2007,G.P.S.,"Mystery, Thriller",3.9,okay
2482,2006,Grbavica,Drama,7.2,good
2483,2006,Hana yori mo naho,"Comedy, Drama",6.7,good
2484,2005,Harder They Fall,"Action, Drama, Sport",3.2,okay
2485,2008,The Lazarus Project,"Drama, Mystery, Thriller",6.1,good
2486,2006,The History Boys,"Comedy, Drama, Romance",6.8,good
2487,2006,Homie Spumoni,Comedy,4.5,okay
2488,2005,Le cactus,Comedy,5.4,okay
2489,2006,I'm Reed Fish,"Comedy, Drama, Romance",5.7,okay
2490,2006,Sillunu Oru Kadhal,"Drama, Romance",6.9,good
2491,2006,"Lenexa, 1 Mile",Drama,5.8,okay
2492,2006,The Lives of the Saints,"Comedy, Drama",4.7,okay
2493,2008,Lonely Street,"Comedy, Mystery, Thriller",5.2,okay
2494,2006,Loren Cass,"Drama, Music",5.2,okay
2495,2005,Man Push Cart,Drama,7.0,good
2496,2007,Mexican Sunrise,"Action, Drama, Thriller",4.0,okay
2497,2009,Baja Beach Bums,Comedy,3.0,okay
2498,2007,El orfanato,"Drama, Horror, Mystery",7.4,good
2499,2010,Piranha 3D,"Comedy, Horror",5.4,okay
2500,2006,Chup Chup Ke,"Comedy, Drama, Romance",6.7,good
2501,2010,Komaram Puli,"Action, Crime, Thriller",3.5,okay
2502,2006,Sione's Wedding,"Comedy, Romance",6.4,good
2503,2006,Severance,"Comedy, Horror, Thriller",6.5,good
2504,2006,Wild Seven,"Crime, Drama",3.9,okay
2505,2005,Bednye rodstvenniki,"Comedy, Drama",6.2,good
2506,2005,Daenseo-ui sunjeong,"Comedy, Drama, Music",6.9,good
2507,2005,Gan-keun gajok,"Comedy, Drama",5.9,okay
2508,2005,Kosmos kak predchuvstvie,Drama,6.8,good
2509,2005,Taepungtaeyang,Drama,5.8,okay
2510,2005,Yeonae-sulsa,"Comedy, Romance",6.2,good
2511,2005,Yeonae-ui mokjeok,"Comedy, Romance",6.4,good
2512,2006,7 miljonärer,"Action, Comedy",4.4,okay
2513,2005,Bunker paradise,Drama,5.8,okay
2514,2006,Quand j'étais chanteur,"Drama, Music, Romance",6.4,good
2515,2006,The Boys & Girls Guide to Getting Down,Comedy,6.6,good
2516,2006,"OSS 117: Le Caire, nid d'espions","Action, Adventure, Comedy",7.1,good
2517,2006,Fehér tenyér,"Drama, Sport",7.5,good
2518,2008,Ghostwood,"Horror, Thriller",4.1,okay
2519,2006,Los aires difíciles,Drama,5.9,okay
2520,2006,American Dreamz,"Comedy, Music",5.4,okay
2521,2006,Animals ferits,Drama,4.8,okay
2522,2006,La Californie,Drama,5.3,okay
2523,2006,Du jour au lendemain,Comedy,5.4,okay
2524,2006,Nuovomondo,"Drama, History, Romance",6.9,good
2525,2006,Ils,"Horror, Thriller",6.4,good
2526,2006,J'invente rien,Comedy,5.6,okay
2527,2007,National Treasure: Book of Secrets,"Action, Adventure, Mystery",6.5,good
2528,2006,Le passager de l'été,Drama,6.0,good
2529,2007,After Sex,"Comedy, Drama, Romance",5.5,okay
2530,2005,Amatemi,Drama,5.9,okay
2531,2006,Eye of the Dolphin,"Comedy, Drama, Family",5.7,okay
2532,2008,The Cottage,"Comedy, Crime, Horror",6.1,good
2533,2005,Dark Places,"Drama, Horror",3.3,okay
2534,2007,December Boys,"Drama, Romance",6.5,good
2535,2006,Disappearances,"Action, Adventure, Drama",4.9,okay
2536,2007,Four Last Songs,"Comedy, Drama, Music",6.1,good
2537,2005,Hallowed,Horror,2.9,bad
2538,2007,Hitman,"Action, Crime, Thriller",6.3,good
2539,2005,Hoshi ni natta shônen,"Drama, Family",6.7,good
2540,2008,Igor,"Animation, Comedy, Family",6.0,good
2541,2006,Jumping Off Bridges,Drama,7.0,good
2542,2006,Last Rites of the Dead,"Comedy, Horror",4.6,okay
2543,2007,Michael Clayton,"Crime, Drama, Mystery",7.2,good
2544,2006,Notes on a Scandal,"Crime, Drama, Romance",7.4,good
2545,2005,Omiros,"Crime, Drama, Thriller",6.1,good
2546,2009,Push,"Action, Adventure, Crime",6.1,good
2547,2007,Shoot 'Em Up,Action,6.7,good
2548,2007,Stagknight,"Comedy, Horror",3.2,okay
2549,2006,My Super Ex-Girlfriend,"Comedy, Romance, Sci-Fi",5.1,okay
2550,2005,Taga tameni,"Crime, Drama, Romance",7.0,good
2551,2005,Time of Her Life,"Drama, Fantasy",3.1,okay
2552,2005,"What's Up, Scarlet?","Comedy, Drama, Romance",5.9,okay
2553,2006,Wilderness,Horror,6.1,good
2554,2006,Ye yan,"Action, Drama, Fantasy",6.4,good
2555,2006,La cura del gorilla,"Comedy, Crime, Thriller",6.4,good
2556,2007,"Maradona, la mano di Dio","Biography, Drama, Romance",5.8,okay
2557,2006,1:1,Drama,5.9,okay
2558,2006,Dobrynya Nikitich i Zmey Gorynych,"Animation, Adventure, Come",7.1,good
2559,2005,Gimî hebun,Thriller,5.7,okay
2560,2005,Grenzverkehr,"Comedy, Drama",6.4,good
2561,2006,Khottabych,"Adventure, Comedy, Fantasy",6.2,good
2562,2006,Lotto,Comedy,5.2,okay
2563,2007,Max Minsky und ich,"Comedy, Romance",6.6,good
2564,2005,Pyl,"Comedy, Drama, Sci-Fi",7.2,good
2565,2006,TKKG und die rätselhafte Mind-Machine,"Action, Adventure, Crime",4.3,okay
2566,2006,Andersen. Zhizn bez lyubvi,"Adventure, Biography, Dram",5.7,okay
2567,2005,Weltverbesserungsmaßnahmen,Comedy,5.8,okay
2568,2006,Die Wilden Hühner,"Adventure, Family",6.0,good
2569,2006,Jeune homme,Comedy,6.5,good
2570,2005,Vremya sobirat kamni,War,6.6,good
2571,2006,Date Movie,"Comedy, Romance",2.8,bad
2572,2005,Fekete kefe,Comedy,6.0,good
2573,2005,Hinokio,"Drama, Sci-Fi",6.5,good
2574,2005,L'orizzonte degli eventi,Drama,5.9,okay
2575,2005,Sex hopp & kärlek,Drama,5.0,okay
2576,2006,Ten Canoes,"Adventure, Comedy, Drama",7.0,good
2577,2006,Unnatural & Accidental,"Crime, Drama, Mystery",4.7,okay
2578,2005,Gekijôban XXXHolic Manatsu no yoru no yume,"Animation, Comedy, Drama",7.1,good
2579,2005,Zakochany aniol,"Comedy, Romance",5.7,okay
2580,2007,De fortabte sjæles ø,"Action, Adventure, Family",5.6,okay
2581,2007,Midsummer Madness,"Comedy, Drama, Romance",6.1,good
2582,2006,Khosla Ka Ghosla!,"Comedy, Crime, Drama",8.3,good
2583,2006,The Plague,Drama,4.3,okay
2584,2006,Råzone,Drama,6.3,good
2585,2006,Karaula,"Comedy, Drama",7.6,good
2586,2006,Nafaka,"Action, Comedy, War",6.8,good
2587,2006,Alien Autopsy,"Biography, Comedy, Sci-Fi",5.8,okay
2588,2006,The Architect,"Crime, Drama, Romance",5.5,okay
2589,2005,Almost Normal,"Comedy, Drama, Romance",5.4,okay
2590,2005,Arindhum Ariyamalum,"Comedy, Crime, Drama",7.2,good
2591,2007,Kein Bund fürs Leben,Comedy,5.0,okay
2592,2006,The Darkroom,"Horror, Mystery, Thriller",5.6,okay
2593,2007,Drive Thru,"Comedy, Horror",4.5,okay
2594,2006,"Puff, Puff, Pass",Comedy,5.6,okay
2595,2006,Wasted,"Adventure, Drama, Mystery",5.5,okay
2596,2007,Hallam Foe,"Drama, Mystery, Romance",7.0,good
2597,2007,I Could Never Be Your Woman,"Comedy, Drama, Romance",6.0,good
2598,2006,Infinite Justice,"Drama, Thriller",5.0,okay
2599,2006,ATL,"Comedy, Crime, Drama",6.1,good
2600,2006,The Moment After II: The Awakening,"Drama, Sci-Fi, Thriller",4.9,okay
2601,2006,The Omen,"Horror, Thriller",5.5,okay
2602,2005,The Perfect Stranger,Drama,6.7,good
2603,2007,Randy and the Mob,"Comedy, Crime",5.9,okay
2604,2006,The Shadow Walkers,Horror,2.3,bad
2605,2006,The System Within,Drama,3.3,okay
2606,2008,Talento de barrio,"Action, Crime, Drama",5.2,okay
2607,2007,Underdog,"Action, Adventure, Comedy",4.7,okay
2608,2006,The Valley of Tears,"Drama, Fantasy, Thriller",2.7,bad
2609,2007,Beneath,"Horror, Mystery, Thriller",5.4,okay
2610,2008,Max Payne,"Action, Crime, Drama",5.4,okay
2611,2008,The Other Boleyn Girl,"Biography, Drama, History",6.7,good
2612,2005,Hill 16,"Comedy, Thriller",4.9,okay
2613,2007,Juno,"Comedy, Drama",7.4,good
2614,2005,Kôshônin: Mashita Masayoshi,Action,6.1,good
2615,2006,Musikanten,Drama,4.6,okay
2616,2005,Zhai bian,"Drama, Horror",5.2,okay
