,year,title,genre,avg_vote,movie_rating,duration
8124,2009,La Nana,"Comedy, Drama",7.3,good,95
8125,2008,Saving God,"Crime, Drama",5.7,okay,101
8126,2008,1 1/2 Ritter - Auf der Suche nach der hinreißenden ,Comedy,3.6,okay,115
8127,2009,Triangle,"Fantasy, Mystery, Thriller",6.9,good,99
8128,2010,Peacock,"Drama, Thriller",6.2,good,90
8129,2008,Akanbo shôjo,Horror,5.4,okay,100
8130,2009,Pandorum,"Action, Horror, Mystery",6.7,good,108
8131,2009,Bellamy,"Crime, Drama, Thriller",5.9,okay,110
8132,2009,Castillos de cartón,"Drama, Romance",5.8,okay,94
8133,2009,El cónsul de Sodoma,"Biography, Drama, Romance",5.7,okay,110
8134,2009,Ex,"Comedy, Romance",6.2,good,120
8135,2008,Fritt vilt II,"Horror, Thriller",6.2,good,86
8136,2009,Haarautuvan rakkauden talo,"Comedy, Drama",6.5,good,102
8137,2008,In 3 Tagen bist du tot 2,"Horror, Thriller",6.0,good,95
8138,2009,La isla interior,Drama,6.5,good,93
8139,2009,Väärät juuret,Drama,6.0,good,99
8140,2010,My Name Is Khan,Drama,8.0,good,165
8141,2009,Kielletty hedelmä,Drama,6.3,good,104
8142,2008,Putoavia enkeleitä,"Biography, Drama",6.3,good,102
8143,2008,Radeloos,Drama,5.3,okay,115
8144,2010,Toonpur Ka Superrhero,"Animation, Action, Adventu",4.2,okay,95
8145,2008,Wit licht,"Drama, Thriller",5.9,okay,115
8146,2009,Yatzy,Drama,5.4,okay,82
8147,2009,Ricky,"Comedy, Drama, Fantasy",5.7,okay,89
8148,2008,The Pleasure of Being Robbed,Drama,5.9,okay,71
8149,2008,The Lost Coast,Drama,4.8,okay,74
8150,2008,A Necessary Death,"Drama, Thriller",6.7,good,101
8151,2008,The New Year Parade,Drama,6.6,good,85
8152,2008,La sangre brota,Drama,6.4,good,100
8153,2008,Yeast,Drama,5.4,okay,78
8154,2008,Maskeli Besler: Kibris,Comedy,3.0,okay,87
8155,2008,Taková normální rodinka,Comedy,4.3,okay,90
8156,2008,Broken Path,Action,5.0,okay,93
8157,2007,Ilya Muromets i Solovey Razboynik,"Animation, Adventure, Fami",6.9,good,80
8158,2008,Watch Out,"Comedy, Drama, Horror",4.0,okay,89
8159,2010,Shekarchi,"Drama, Thriller",6.3,good,90
8160,2008,The Legend of Bloody Mary,"Horror, Thriller",2.7,bad,93
8161,2009,2012,"Action, Adventure, Sci-Fi",5.8,okay,158
8162,2009,Black Dynamite,"Action, Comedy",7.4,good,84
8163,2008,Bloodline,Mystery,5.8,okay,113
8164,2008,Chugyeogja,"Action, Crime, Thriller",7.9,good,125
8165,2006,Gekijouban Doubutsu no mori,"Animation, Comedy, Family",6.6,good,87
8166,2007,Opapatika,"Action, Fantasy, Sci-Fi",4.3,okay,103
8167,2008,An American Carol,"Comedy, Fantasy",4.1,okay,83
8168,2009,Amreeka,Drama,7.0,good,96
8169,2008,Girara no gyakushû: Tôya-ko Samitto kikiippatsu,"Comedy, Sci-Fi",5.1,okay,98
8170,2009,"Road, Movie","Adventure, Comedy, Crime",6.8,good,95
8171,2009,The Beacon,"Action, Fantasy, Horror",4.7,okay,94
8172,2008,Eye for Eye,"Action, Drama",3.3,okay,79
8173,2008,Red Victoria,"Comedy, Horror",4.3,okay,89
8174,2009,Enter the Void,"Drama, Fantasy",7.3,good,161
8175,2008,The Gates of Hell,"Horror, Thriller",4.1,okay,88
8176,2008,Jalsa,"Action, Comedy",7.3,good,161
8177,2010,Right Yaaa Wrong,"Crime, Drama, Thriller",6.4,good,135
8178,2008,Thoda Pyaar Thoda Magic,"Comedy, Drama, Family",4.9,okay,145
8179,2009,Zion Ve Ahiv,Drama,6.1,good,84
8180,2009,Zone of the Dead,"Action, Horror, Sci-Fi",3.9,okay,101
8181,2008,My iz budushchego,"Action, Drama, Fantasy",6.8,good,110
8182,2008,Kuchisake-onna 2,"Drama, Horror",5.8,okay,98
8183,2008,Oneechanbara: The Movie,"Action, Horror",4.8,okay,80
8184,2009,Call of the Wild,"Adventure, Drama, Family",5.3,okay,88
8185,2009,Crushed,"Horror, Thriller",4.1,okay,90
8186,2009,Punching the Clown,Comedy,7.2,good,91
8187,2008,Rescued,"Comedy, Drama, Romance",3.6,okay,90
8188,2009,Le code a changé,"Comedy, Drama",5.7,okay,100
8189,2009,Up in the Air,"Comedy, Drama, Romance",7.4,good,109
8190,2007,Bareuge salja,"Action, Comedy",7.4,good,102
8191,2010,Corrado,"Action, Crime, Drama",3.3,okay,77
8192,2007,Geomeun jip,"Horror, Thriller",6.2,good,104
8193,2010,My Own Love Song,"Comedy, Drama",5.8,okay,102
8194,2008,Recep Ivedik,Comedy,4.6,okay,90
8195,2007,Ssa-woom,"Action, Comedy, Romance",5.8,okay,102
8196,2009,Bled White,Horror,4.4,okay,85
8197,2008,Immigrants (L.A. Dolce Vita),"Animation, Comedy",5.7,okay,78
8198,2010,Step Up 3D,"Drama, Music, Romance",6.2,good,107
8199,2008,Bujjigaadu: Made in Chennai,"Action, Drama",6.4,good,150
8200,2007,Goongnyeo,"Crime, Drama, History",6.4,good,112
8201,2008,Friedliche Zeiten,"Comedy, Drama",6.3,good,98
8202,2009,Il grande sogno,Drama,5.7,okay,101
8203,2010,Jaane Kahan Se Aayi Hai,"Comedy, Drama, Fantasy",3.8,okay,94
8204,2008,Das Fremde in mir,Drama,6.7,good,99
8205,2010,Get Educated: Paathshaala,"Drama, Family",4.9,okay,122
8206,2009,Polytechnique,"Crime, Drama, History",7.2,good,77
8207,2009,Le vilain,Comedy,6.3,good,86
8208,2009,Get Low,"Drama, Mystery",7.0,good,103
8209,2010,Casino Jack,"Biography, Comedy, Crime",6.2,good,108
8210,2008,Dark Reprieve,"Mystery, Sci-Fi, Thriller",3.0,okay,80
8211,2007,Rats and Cats,"Comedy, Drama",6.0,good,87
8212,2008,Faa faa ying ging,"Action, Romance, Thriller",5.1,okay,98
8213,2009,"Chelovek, kotoryy znal vsyo",Drama,5.8,okay,106
8214,2008,Murder.com,"Crime, Drama, Mystery",3.5,okay,85
8215,2008,Domovoy,Thriller,7.0,good,104
8216,2008,Ek Vivaah... Aisa Bhi,"Drama, Romance",5.3,okay,132
8217,2009,Envoyés très spéciaux,Comedy,5.3,okay,93
8218,2008,Lluvia,"Drama, Romance",6.5,good,110
8219,2008,LOL (Laughing Out Loud) ®,"Comedy, Romance",6.3,good,103
8220,2008,Muumi ja vaarallinen juhannus,"Animation, Family, Fantasy",5.5,okay,88
8221,2008,Nunta muta,"Comedy, Drama, History",7.9,good,87
8222,2009,Sun cheung sau,"Action, Adventure, Crime",5.6,okay,90
8223,2008,Unspoken,Drama,5.9,okay,90
8224,2008,Ikigami,Drama,7.2,good,133
8225,2007,Koizora,"Drama, Romance",7.0,good,129
8226,2008,Siyama,"Action, Adventure, Drama",4.1,okay,107
8227,2010,Crazy on the Outside,"Comedy, Crime",5.5,okay,96
8228,2008,Daybreak,Romance,4.8,okay,75
8229,2010,Diary of a Wimpy Kid,"Comedy, Drama, Family",6.2,good,94
8230,2009,Harmony and Me,Comedy,6.2,good,75
8231,2010,Cemetery Junction,"Comedy, Drama",6.9,good,95
8232,2008,Nishi no majo ga shinda,"Drama, Family",6.7,good,115
8233,2008,La guerre des miss,Comedy,5.2,okay,89
8234,2009,After Last Season,"Animation, Drama, Sci-Fi",1.6,bad,93
8235,2010,Pound of Flesh,"Crime, Drama, Thriller",3.0,okay,104
8236,2010,Inhale,"Drama, Thriller",6.6,good,83
8237,2008,Broken Fences,"Drama, Western",4.2,okay,101
8238,2009,Caesar and Otto's Summer Camp Massacre,"Comedy, Horror",3.8,okay,76
