,date,city,price
375,1988-05-01,FL-Tampa,79.88
376,1988-05-01,GA-Atlanta,
377,1988-05-01,IL-Chicago,65.53
378,1988-05-01,MA-Boston,74.46
379,1988-05-01,MI-Detroit,
380,1988-05-01,MN-Minneapolis,
381,1988-05-01,NC-Charlotte,67.92
382,1988-05-01,NV-Las Vegas,67.51
383,1988-05-01,NY-New York,84.23
384,1988-05-01,OH-Cleveland,58.25
385,1988-05-01,OR-Portland,42.58
386,1988-05-01,TX-Dallas,
387,1988-05-01,WA-Seattle,
388,1988-05-01,Composite-10,72.48
389,1988-05-01,Composite-20,
390,1988-05-01,National-US,70.42
391,1988-06-01,AZ-Phoenix,
392,1988-06-01,CA-Los Angeles,74.35
393,1988-06-01,CA-San Diego,61.54
394,1988-06-01,CA-San Francisco,58.22
395,1988-06-01,CO-Denver,48.27
396,1988-06-01,DC-Washington,79.56
397,1988-06-01,FL-Miami,73.55
398,1988-06-01,FL-Tampa,80.25
399,1988-06-01,GA-Atlanta,
400,1988-06-01,IL-Chicago,66.85
401,1988-06-01,MA-Boston,75.07
402,1988-06-01,MI-Detroit,
403,1988-06-01,MN-Minneapolis,
404,1988-06-01,NC-Charlotte,68.14
405,1988-06-01,NV-Las Vegas,67.18
406,1988-06-01,NY-New York,84.59
407,1988-06-01,OH-Cleveland,59.23
408,1988-06-01,OR-Portland,42.75
409,1988-06-01,TX-Dallas,
410,1988-06-01,WA-Seattle,
411,1988-06-01,Composite-10,73.63
412,1988-06-01,Composite-20,
413,1988-06-01,National-US,71.08
414,1988-07-01,AZ-Phoenix,
415,1988-07-01,CA-Los Angeles,77.22
416,1988-07-01,CA-San Diego,64.81
417,1988-07-01,CA-San Francisco,58.7
418,1988-07-01,CO-Denver,48.33
419,1988-07-01,DC-Washington,81.25
420,1988-07-01,FL-Miami,74.13
421,1988-07-01,FL-Tampa,80.74
422,1988-07-01,GA-Atlanta,
423,1988-07-01,IL-Chicago,67.07
424,1988-07-01,MA-Boston,75.53
425,1988-07-01,MI-Detroit,
426,1988-07-01,MN-Minneapolis,
427,1988-07-01,NC-Charlotte,68.64
428,1988-07-01,NV-Las Vegas,67.36
429,1988-07-01,NY-New York,85.02
430,1988-07-01,OH-Cleveland,59.7
431,1988-07-01,OR-Portland,43.09
432,1988-07-01,TX-Dallas,
433,1988-07-01,WA-Seattle,
434,1988-07-01,Composite-10,74.81
435,1988-07-01,Composite-20,
436,1988-07-01,National-US,71.69
437,1988-08-01,AZ-Phoenix,
438,1988-08-01,CA-Los Angeles,79.27
439,1988-08-01,CA-San Diego,65.64
440,1988-08-01,CA-San Francisco,59.0
441,1988-08-01,CO-Denver,48.52
442,1988-08-01,DC-Washington,82.35
443,1988-08-01,FL-Miami,75.02
444,1988-08-01,FL-Tampa,80.95
445,1988-08-01,GA-Atlanta,
446,1988-08-01,IL-Chicago,68.66
447,1988-08-01,MA-Boston,75.47
448,1988-08-01,MI-Detroit,
449,1988-08-01,MN-Minneapolis,
450,1988-08-01,NC-Charlotte,69.67
451,1988-08-01,NV-Las Vegas,68.11
452,1988-08-01,NY-New York,85.33
453,1988-08-01,OH-Cleveland,60.32
454,1988-08-01,OR-Portland,43.54
455,1988-08-01,TX-Dallas,
456,1988-08-01,WA-Seattle,
457,1988-08-01,Composite-10,75.7
458,1988-08-01,Composite-20,
459,1988-08-01,National-US,72.19
460,1988-09-01,AZ-Phoenix,
461,1988-09-01,CA-Los Angeles,81.23
462,1988-09-01,CA-San Diego,66.45
463,1988-09-01,CA-San Francisco,59.5
464,1988-09-01,CO-Denver,48.37
465,1988-09-01,DC-Washington,83.59
466,1988-09-01,FL-Miami,75.63
467,1988-09-01,FL-Tampa,80.78
468,1988-09-01,GA-Atlanta,
469,1988-09-01,IL-Chicago,68.71
470,1988-09-01,MA-Boston,75.38
471,1988-09-01,MI-Detroit,
472,1988-09-01,MN-Minneapolis,
473,1988-09-01,NC-Charlotte,69.93
474,1988-09-01,NV-Las Vegas,69.06
475,1988-09-01,NY-New York,85.54
476,1988-09-01,OH-Cleveland,60.6
477,1988-09-01,OR-Portland,43.72
478,1988-09-01,TX-Dallas,
479,1988-09-01,WA-Seattle,
480,1988-09-01,Composite-10,76.4
481,1988-09-01,Composite-20,
482,1988-09-01,National-US,72.58
483,1988-10-01,AZ-Phoenix,
484,1988-10-01,CA-Los Angeles,82.94
485,1988-10-01,CA-San Diego,67.47
486,1988-10-01,CA-San Francisco,60.37
487,1988-10-01,CO-Denver,48.27
488,1988-10-01,DC-Washington,83.94
489,1988-10-01,FL-Miami,75.86
490,1988-10-01,FL-Tampa,80.84
491,1988-10-01,GA-Atlanta,
492,1988-10-01,IL-Chicago,69.37
493,1988-10-01,MA-Boston,75.25
494,1988-10-01,MI-Detroit,
495,1988-10-01,MN-Minneapolis,
496,1988-10-01,NC-Charlotte,70.1
497,1988-10-01,NV-Las Vegas,69.19
498,1988-10-01,NY-New York,85.14
499,1988-10-01,OH-Cleveland,60.84
500,1988-10-01,OR-Portland,44.02
501,1988-10-01,TX-Dallas,
502,1988-10-01,WA-Seattle,
503,1988-10-01,Composite-10,76.9
504,1988-10-01,Composite-20,
505,1988-10-01,National-US,72.83
506,1988-11-01,AZ-Phoenix,
507,1988-11-01,CA-Los Angeles,84.69
508,1988-11-01,CA-San Diego,68.62
509,1988-11-01,CA-San Francisco,61.31
510,1988-11-01,CO-Denver,47.86
511,1988-11-01,DC-Washington,84.68
512,1988-11-01,FL-Miami,76.09
513,1988-11-01,FL-Tampa,80.61
514,1988-11-01,GA-Atlanta,
515,1988-11-01,IL-Chicago,68.27
516,1988-11-01,MA-Boston,75.01
517,1988-11-01,MI-Detroit,
518,1988-11-01,MN-Minneapolis,
519,1988-11-01,NC-Charlotte,69.56
520,1988-11-01,NV-Las Vegas,68.64
521,1988-11-01,NY-New York,84.82
522,1988-11-01,OH-Cleveland,60.88
523,1988-11-01,OR-Portland,44.05
524,1988-11-01,TX-Dallas,
525,1988-11-01,WA-Seattle,
526,1988-11-01,Composite-10,77.28
527,1988-11-01,Composite-20,
528,1988-11-01,National-US,73.07
529,1988-12-01,AZ-Phoenix,
530,1988-12-01,CA-Los Angeles,85.97
531,1988-12-01,CA-San Diego,69.84
532,1988-12-01,CA-San Francisco,62.2
533,1988-12-01,CO-Denver,47.36
534,1988-12-01,DC-Washington,85.74
535,1988-12-01,FL-Miami,76.19
